pv_to_house,pv_to_bat,bat_to_house,grid_to_house,pv_to_grid,pv_to_bat_grid_wasted,to_house_wasted,power,load,soc,cost,profit,spot,datetime,battery_capacity,deltaSOH_cyclic,deltaSOH_float,battery_deltaSOH,battery_usage_cost,aging_factor_cyclic,aging_factor_float,battery_aging_factor
0.0,0.0,0.0,3.5199999809265137,0.0,0.0,0.0,0.0,3.52,0.0,0.3393040621614456,0.0,2.693,2020-01-08 00:00:00,13.499989539384842,0.0,3.956947239203146e-06,3.956947239203146e-06,0.035612523555755615,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.5799999833106995,0.0,0.0,0.0,0.0,0.58,0.0,0.053951830447554604,0.0,2.4210000000000003,2020-01-08 01:00:00,13.49997907877779,0.0,3.9569440559716895e-06,3.9569440559716895e-06,0.035612497478723526,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.41999998688697815,0.0,0.0,0.0,0.0,0.42,0.0,0.03632915886574984,0.0,1.895,2020-01-08 02:00:00,13.499968618178842,0.0,3.956941327487584e-06,3.956941327487584e-06,0.03561247140169144,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.3700000047683716,0.0,0.0,0.0,0.0,0.37,0.0,0.025585648329734804,0.0,0.496,2020-01-08 03:00:00,13.499958157588,0.0,3.956938144256128e-06,3.956938144256128e-06,0.03561244159936905,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,5.860000133514404,0.0,0.0,0.0,0.0,5.86,0.0,0.3699066484279633,-0.0,0.01,2020-01-08 04:00:00,13.499947697005265,0.0,3.956934961024672e-06,3.956934961024672e-06,0.03561241552233696,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.4,0.0,0.025254560376322274,-0.0,0.011,2020-01-08 05:00:00,13.499937236430634,0.0,3.9569322325405665e-06,3.9569322325405665e-06,0.03561238944530487,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.35,0.0,0.022809499611556528,-0.0,0.175,2020-01-08 06:00:00,13.49992677586411,0.0,3.95692904930911e-06,3.95692904930911e-06,0.03561235964298248,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,1.9700000286102295,0.0,0.0,0.0,0.0,1.97,0.0,0.1747736745382309,0.0,2.074,2020-01-08 07:00:00,13.49991631530569,0.0,3.956925866077654e-06,3.956925866077654e-06,0.035612333565950394,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.4,0.0,0.037882720564496514,0.0,2.557,2020-01-08 08:00:00,13.499905854755376,0.0,3.956922682846198e-06,3.956922682846198e-06,0.035612303763628006,0.0,3.956950422434602e-06,3.956950422434602e-06
0.0,0.0,0.0,0.4099999964237213,0.0,0.0,0.0,0.0,0.41,0.0,0.03955171565500498,0.0,2.699,2020-01-08 09:00:00,13.499895394213167,0.0,3.956919499614742e-06,3.956919499614742e-06,0.03561227396130562,0.0,3.956950422434602e-06,3.956950422434602e-06
